

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

  3060.00000  0.736537E-02  0.000000E+00  0.545412E-03  0.000000E+00  0.273698E+00  -1000.000      0.000      4.247     204
  3075.00000  0.737551E-02  0.000000E+00  0.545426E-03  0.000000E+00  0.274233E+00  -1000.000      0.000      4.247     205
  3090.00000  0.738555E-02  0.000000E+00  0.545440E-03  0.000000E+00  0.274765E+00  -1000.000      0.000      4.247     206
  3105.00000  0.739560E-02  0.000000E+00  0.545455E-03  0.000000E+00  0.275293E+00  -1000.000      0.000      4.247     207
  3120.00000  0.740536E-02  0.000000E+00  0.545469E-03  0.000000E+00  0.275818E+00  -1000.000      0.000      4.248     208
  3135.00000  0.741493E-02  0.000000E+00  0.545483E-03  0.000000E+00  0.276340E+00  -1000.000      0.000      4.245     209
  3150.00000  0.742494E-02  0.000000E+00  0.545497E-03  0.000000E+00  0.276859E+00  -1000.000      0.000      4.245     210
  3165.00000  0.743412E-02  0.000000E+00  0.545512E-03  0.000000E+00  0.277377E+00  -1000.000      0.000      4.246     211
  3180.00000  0.744315E-02  0.000000E+00  0.545526E-03  0.000000E+00  0.277893E+00  -1000.000      0.000      4.246     212
  3195.00000  0.745284E-02  0.000000E+00  0.545540E-03  0.000000E+00  0.278407E+00  -1000.000      0.000      4.242     213
  3210.00000  0.746185E-02  0.000000E+00  0.545555E-03  0.000000E+00  0.278920E+00  -1000.000      0.000      4.242     214
  3225.00000  0.747157E-02  0.000000E+00  0.545569E-03  0.000000E+00  0.279432E+00  -1000.000      0.000      4.242     215
